URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/sid/icd-10-cm,2.0.1,active,"2.16.840.1.113883.6.90",Icd10CM,International Classification of Diseases, 10th Revision, Clinical Modification (ICD-10-CM),"The International Classification of Diseases, 10th Revision, Clinical Modification (ICD-10-CM), describes the classification of morbidity and mortality information for statistical purposes and for the indexing of healthcare records by diseases. The ICD-10-CM codes can be used as the value of the Act.cd attribute.","ValueSet/ACCESSeCKMDiagnosisVS,ValueSet/ACCESSBHDiagnosisVS,ValueSet/us-core-condition-code,ValueSet/ACCESSMSKDiagnosisVS,ValueSet/ACCESSCKMDiagnosisVS"
http://hl7.org/fhir/sid/icd-9-cm,3.0.0,active,"2.16.840.1.113883.6.104",ICD9CMProcedureCodes,ICD-9-CM (procedure codes),"The International Classification of Diseases, 9th Revision, Clinical Modification (ICD-9-CM), Volumes I, II (diagnoses) and III (procedures) describes the classification of morbidity and mortality information for statistical purposes and for the indexing of healthcare records by diseases and procedures. The ICD-9-CM codes can be used as the value of the Act.cd attribute.","ValueSet/us-core-condition-code"
http://hl7.org/fhir/us/core/CodeSystem/condition-category,6.1.0,active,,USCoreConditionCategoryExtensionCodes,US Core Condition Category Extension Codes,"Set of codes that are needed for implementation of the US-Core Condition Profile. These codes are used as extensions to the FHIR and US Core value sets.","ValueSet/us-core-problem-or-health-concern"
http://hl7.org/fhir/us/core/CodeSystem/us-core-category,6.1.0,active,,USCoreCategory,US Core Category,"Category codes used across US Core Profiles and resource types. They are typically used when there is a need for categorization for searching and finding resources or workflow hints.","ValueSet/us-core-screening-assessment-condition-category"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/condition-stage,ValueSet/condition-stage-type,ValueSet/us-core-condition-code,ValueSet/body-site,ValueSet/manifestation-or-symptom,ValueSet/condition-severity"
http://terminology.hl7.org/CodeSystem/condition-category,2.0.0,active,"2.16.840.1.113883.4.642.1.1073",ConditionCategoryCodes,Condition Category Codes,"Preferred value set for Condition Categories.","ValueSet/condition-category,ValueSet/us-core-problem-or-health-concern"
http://terminology.hl7.org/CodeSystem/condition-clinical,3.0.0,active,"2.16.840.1.113883.4.642.1.1074",ConditionClinicalStatusCodes,Condition Clinical Status Codes,"Preferred value set for Condition Clinical Status.","ValueSet/condition-clinical"
http://terminology.hl7.org/CodeSystem/condition-ver-status,2.0.1,active,"2.16.840.1.113883.4.642.1.1075",ConditionVerificationStatus,ConditionVerificationStatus,"The verification status to support or decline the clinical status of the condition or diagnosis.","ValueSet/condition-ver-status"
https://globalalliantinc.com/access/CodeSystem/ACCESSAlignmentResultCS,0.7.0,draft,,ACCESSAlignmentResultCS,ACCESS Alignment Request Result Codes,"This codesystem defines codes indicating the result of a requested alignment.","ValueSet/ACCESSAlignmentResultVS"
https://globalalliantinc.com/access/CodeSystem/ACCESSEligibilityResultCS,0.7.0,draft,,ACCESSEligibilityResultCS,ACCESS Eligibility Result Codes,"This codesystem defines codes indicating the result of an eligibility check.","ValueSet/ACCESSEligibilityResultVS"
https://globalalliantinc.com/access/CodeSystem/ACCESSEventTypeCS,0.7.0,draft,,ACCESSEventTypeCS,ACCESS Event Types,"This codesystem defines codes for the types of events that trigger subscription notifications in the ACCESS Model.","ValueSet/ACCESSEventTypeVS"
https://globalalliantinc.com/access/CodeSystem/ACCESSTrackCS,0.7.0,draft,,ACCESSTrackCS,ACCESS Model Tracks,"This codesystem defines codes for each of the ACCESS Model tracks.","ValueSet/ACCESSTrackVS"
https://globalalliantinc.com/access/CodeSystem/ACCESSUnalignmentReasonCS,0.7.0,draft,,ACCESSUnalignmentReasonCS,ACCESS Unalignment Reason Codes,"This codesystem defines the codes indicating the reason for the requested unalignment.","ValueSet/ACCESSUnalignmentReasonVS"
https://globalalliantinc.com/access/CodeSystem/ACCESSUnalignmentResultCS,0.7.0,draft,,ACCESSUnalignmentResultCS,ACCESS Unalignment Request Result Codes,"This codesystem defines the codes indicating the result of a requested unalignment.","ValueSet/ACCESSUnalignmentResultVS"
urn:ietf:bcp:47,2.0.1,active,"2.16.840.1.113883.6.121",Ietf3066,Tags for the Identification of Languages,"Older value from OID registry.  Superceded; see recommendations in BCP-47.","ValueSet/languages"
