URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/sid/icd-10-cm,2.0.1,active,"2.16.840.1.113883.6.90",Icd10CM,International Classification of Diseases, 10th Revision, Clinical Modification (ICD-10-CM),"The International Classification of Diseases, 10th Revision, Clinical Modification (ICD-10-CM), describes the classification of morbidity and mortality information for statistical purposes and for the indexing of healthcare records by diseases. The ICD-10-CM codes can be used as the value of the Act.cd attribute.","ValueSet/ACCESSeCKMDiagnosisVS,ValueSet/ACCESSBHDiagnosisVS,ValueSet/ACCESSBHClinicalExclusionDiagnosisVS,ValueSet/ACCESSMSKDiagnosisVS,ValueSet/ACCESSCKMClinicalExclusionDiagnosisVS,ValueSet/ACCESSClinicalExclusionDiagnosisVS,ValueSet/ACCESSMSKClinicalExclusionDiagnosisVS,ValueSet/ACCESSCKMDiagnosisVS"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/null"
https://dsacms.github.io/cmmi-access-model/CodeSystem/ACCESSAlignmentResultCS,0.9.12,draft,,ACCESSAlignmentResultCS,ACCESS Alignment Request Result Codes,"This codesystem defines codes indicating the result of a requested alignment.","ValueSet/ACCESSAlignmentResultVS"
https://dsacms.github.io/cmmi-access-model/CodeSystem/ACCESSEligibilityResultCS,0.9.12,draft,,ACCESSEligibilityResultCS,ACCESS Eligibility Result Codes,"This codesystem defines codes indicating the result of an eligibility check.","ValueSet/ACCESSEligibilityResultVS"
https://dsacms.github.io/cmmi-access-model/CodeSystem/ACCESSEventTypeCS,0.9.12,draft,,ACCESSEventTypeCS,ACCESS Event Types,"This codesystem defines codes for the types of events that trigger subscription notifications in the ACCESS Model.","ValueSet/ACCESSEventTypeVS"
https://dsacms.github.io/cmmi-access-model/CodeSystem/ACCESSReportDataResultCS,0.9.12,draft,,ACCESSReportDataResultCS,ACCESS Report Data Result Codes,"This codesystem defines the codes indicating the result of a data reporting submission.","ValueSet/ACCESSReportDataResultVS"
https://dsacms.github.io/cmmi-access-model/CodeSystem/ACCESSReportTypeCS,0.9.12,draft,,ACCESSReportTypeCS,ACCESS Report Type Codes,"This codesystem defines the codes indicating the type of the data report submission.","ValueSet/ACCESSReportTypeVS"
https://dsacms.github.io/cmmi-access-model/CodeSystem/ACCESSTrackCS,0.9.12,draft,,ACCESSTrackCS,ACCESS Model Tracks,"This codesystem defines codes for each of the ACCESS Model tracks.","ValueSet/ACCESSTrackVS"
https://dsacms.github.io/cmmi-access-model/CodeSystem/ACCESSUnalignmentReasonCS,0.9.12,draft,,ACCESSUnalignmentReasonCS,ACCESS Unalignment Reason Codes,"This codesystem defines the codes indicating the reason for the requested unalignment.","ValueSet/ACCESSUnalignmentReasonVS"
https://dsacms.github.io/cmmi-access-model/CodeSystem/ACCESSUnalignmentResultCS,0.9.12,draft,,ACCESSUnalignmentResultCS,ACCESS Unalignment Request Result Codes,"This codesystem defines the codes indicating the result of a requested unalignment.","ValueSet/ACCESSUnalignmentResultVS"
urn:ietf:bcp:47,2.0.1,active,"2.16.840.1.113883.6.121",Ietf3066,Tags for the Identification of Languages,"Older value from OID registry.  Superceded; see recommendations in BCP-47.","ValueSet/languages"
