Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-cms.fhir.us.cmmi-access-model.json	52613	-	0	0	0	0	0	0	7	45	0	0	0	0	0	0	0	1	0	0	0	116	532	0	0	0	0	3	0	5
fsh-generated/resources/Bundle-BHReportDataBundleExample.json	29708	5	16	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	36	61	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-CKMReportDataBundleExample.json	25711	3	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	33	34	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-MSKReportDataBundleExample.json	61681	4	4	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	53	51	0	0	0	0	0	0	1
fsh-generated/resources/Bundle-eCKMReportDataBundleExample.json	21910	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	28	33	0	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-ACCESSAlignmentAPICapabilityStatement.json	2774	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	18	22	0	0	1	0	1	0	0
fsh-generated/resources/CapabilityStatement-ACCESSDataReportingAPICapabilityStatement.json	4400	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	21	19	0	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-ACCESSEligibilityAPICapabilityStatement.json	2534	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	21	18	0	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-ACCESSUnalignmentAPICapabilityStatement.json	2649	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	15	10	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ACCESSAlignmentResultCS.json	3541	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	18	63	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ACCESSEligibilityResultCS.json	3352	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	15	65	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ACCESSEventTypeCS.json	2290	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	12	31	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ACCESSReportDataCompositionSectionCS.json	1636	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	11	78	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ACCESSReportDataResultCS.json	1980	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	18	33	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ACCESSReportTypeCS.json	1560	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	11	32	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ACCESSTrackCS.json	1434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	27	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ACCESSUnalignmentReasonCS.json	1532	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	28	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ACCESSUnalignmentResultCS.json	1454	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	11	25	0	0	0	0	0	0	0
